id,created_time,message,story,comments
1849247698620787_2868792479999632,2021-04-14T09:33:31+0000,"17 наурыз күні Yessenov University студенттері арасында «YESSENOV ARÝY MEN SULTANY — 2021» байқауы өтті.👑

Іс-шарада 5 қыз және 5 жігіт өздерінің таланттары мен зияткерлік қабілеттерін көрсетті.
Қазылар алқасының бағалау қорытындысы бойынша:
YESSENOV ARÝY болып ЖАЙНА ТЕЛОВА атанды.👸🏻
YESSENOV SULTANY болып АЛҒЫТ ДАУРЕН жарияланды.🤴🏻

1 ай бойына байқау қатысушылары кәсіби мамандармен жұмыс жасап, тәжірибе жинақтады. Қыз балалар дәстүрді дәріптей отыра қолөнермен айналысып, қайнаған ауыл шаруашылығымен танысып, сонымен қатар қыш құмыра өнерінен мастер-классқа қатысты. Ал жігіттер садақ атып,  сынға түсті. 

Онымен қоса қатысушыларымыз қайырымдылық шараларын ұйымдастырып, бір отбасыға көмек қолын созды.🌺
————
17 марта состоялся конкурс «YESSENOV ARÝY MEN SULTANY – 2021» среди студентов Yessenov University.👑

На мероприятии 5 девушек и 5 парней продемонстрировали свой талант и интеллектуальные способности.
По итогам оценок жюри:
YESSENOV ARÝY стала ЖАЙНА ТЕЛОВА. 👸🏻
YESSENOV SULTANY был объявлен АЛГЫТ ДАУРЕН.🤴🏻 

В течение всего месяца участники конкурса работали с профессиональными специалистами и накопили опыт работы. Девочки занимались национальным ремеслом, познакомились с сельским хозяйством, прославляя традиции, а также принимали участие в мастер-классе по гончарному делу. А ребята соревновались в стрельбе из лука. 

Кроме того, участники организовали благотворительные мероприятия и оказали помощь одной семье.🌺",,
1849247698620787_2868153750063505,2021-04-13T15:51:44+0000,"📌13 сәуір күні Yessenov University ұйымдастыруымен «Жемқорлыққа қарсы мәдениет» атты университет деңгейінде онлайн бейне-дәріс өткізілді.

Кездесуге ҚР Сыбайлас жемқорлыққа қарсы іс-қимыл Агенттігінің Маңғыстау облысы бойынша Департмент басшысының 1-ші орынбасары Мырзағали Қуаныш Бүркітұлы және Осы Департамент жанындағы Ақпараттық-ағартушылық  штабының мүшесі, химия ғылымдарының кандидаты Парманқұлов Мұрат Жақсылықұлы қатысты.

Студенттеріміз бейне-дәріс  барысында көптеген қажетті мағлұматтар алып, сұрақтарына толық жауап алды.  
————
📌13 апреля в Yessenov University была проведена онлайн видеолекция «Антикоррупционная культура».

Во встрече приняли участие 1-й заместитель руководителя Департамента Агентства РК по противодействию коррупции по Мангистауской области Мырзагали Куаныш Буркитович и член информационно-просветительского штаба при данном департаменте, кандидат химических наук Парманкулов Мурат Жаксылыкович.

В ходе видеолекции наши студенты узнали много полезной информации и получили исчерпывающие ответы на свои вопросы.",Yessenov University сейчас здесь: Yessenov University.,"{'data': [{'created_time': '2021-04-13T18:52:15+0000', 'message': 'Жарайсындар ', 'id': '2868153750063505_2868277350051145'}, {'created_time': '2021-04-13T15:54:57+0000', 'message': 'Тағылымды дәріс болды.', 'id': '2868153750063505_2868155300063350'}, {'created_time': '2021-04-14T04:04:54+0000', 'message': 'Рахмет уйымдастырушыларга, кызыкты  кездесу болды 👍🏻', 'id': '2868153750063505_2868620773350136'}, {'created_time': '2021-04-13T16:52:29+0000', 'message': 'Оң болсын бастама', 'id': '2868153750063505_2868183710060509'}, {'created_time': '2021-04-13T19:55:12+0000', 'message': 'Жақсы дәріс', 'id': '2868153750063505_2868348833377330'}], 'paging': {'cursors': {'before': 'NQZDZD', 'after': 'MQZDZD'}}}"
1849247698620787_2868147476730799,2021-04-13T15:39:30+0000,"📌Yessenov University Білім беру мектебінің ұйымдастыруымен 15 сәуір күні сағат 09:00–17:00 уақыт аралығында ""Білім менеджменті және бала психологиясы"" тақырыбында республикалық QAZBILIM орталығы негізін қалаушысы, Шебер педагог, PhD доктор, Нұр-Сұлтан қаласы №90 гимназия директоры Аятжан Ахметжанұлы өткізетін дөңгелек үстелге оффлайн Yessenov University, Атриум залында және онлайн форматта ZOOM платформасы арқылы төмендегі сілтеме арқылы қосылуға шақырамыз.

https://zoom.us/j/95502381497?pwd=SFNYdVpYYnVGd3hKUWZSZGlCN0Q1UT09
Идентификатор конференции: 955 0238 1497
Код доступа: 983033
—————
📌Yessenov University приглашает Вас присоединиться к круглому столу, организованному школой образования Yessenov University 15 апреля с 09:00 до 17:00 часов на тему ""Менеджмент образования и психология ребенка"", проводимому основателем Республиканского центра QAZBILIM, педагогом-мастером, доктором PhD, директором гимназии №90 г. Нур-Султан Аятжаном Ахметжановичем оффлайн в зале Атриум Yessenov University и онлайн формате через платформу ZOOM по ссылке ниже.

https://zoom.us/j/95502381497?pwd=SFNYdVpYYnVGd3hKUWZSZGlCN0Q1UT09
Идентификатор конференции: 955 0238 1497
Код доступа: 983033",Yessenov University сейчас здесь: Yessenov University.,"{'data': [{'created_time': '2021-04-13T19:55:30+0000', 'message': 'Жақсы бастама!', 'id': '2868147476730799_2868349103377303'}, {'created_time': '2021-04-14T08:46:50+0000', 'message': 'Катысу керек екен', 'id': '2868147476730799_2868774603334753'}], 'paging': {'cursors': {'before': 'MgZDZD', 'after': 'MQZDZD'}}}"
1849247698620787_2867867713425442,2021-04-13T06:38:10+0000,"Yessenov University барлықтарыңызды қасиетті Рамазан айының келуімен құттықтап, ниеттеріңіз қабыл болсын деген тілекте!🌙

Жүздеріңіздегі нұр, жүректеріңіздегі иман арта берсін. Отанымыз аман, жұртымыз тыныш, барша Қазақстан азаматтарының ынтымақ-бірлігі берік болсын!🕌
————
Yessenov University поздравляет Вас с наступлением священного месяца Рамадан и желает, чтобы ваши благие намерения были приняты!🌙

Пусть в ваших лицах будет свет, а в сердцах — вера. Пусть наша Родина остается благополучной, мирной, единой для всех граждан Казахстана!🕌",Yessenov University сейчас здесь: Yessenov University.,"{'data': [{'created_time': '2021-04-13T08:25:53+0000', 'message': 'Аумин! Ниеттерін қабыл болсын!', 'id': '2867867713425442_2867931433419070'}, {'created_time': '2021-04-13T07:11:19+0000', 'message': 'Әмин ! Алла тағала қабыл етсін !', 'id': '2867867713425442_2867882233423990'}, {'created_time': '2021-04-13T14:22:49+0000', 'message': 'Әумин 🤲\nОразаларыңыз қабыл болсын!', 'id': '2867867713425442_2868103870068493'}, {'created_time': '2021-04-13T19:55:53+0000', 'message': 'Әмин. Ниет қабыл болсын!', 'id': '2867867713425442_2868349526710594'}, {'created_time': '2021-04-13T12:34:06+0000', 'message': 'Әумин', 'id': '2867867713425442_2868042486741298'}, {'created_time': '2021-04-13T08:36:29+0000', 'message': 'Әумин', 'id': '2867867713425442_2867936033418610'}], 'paging': {'cursors': {'before': 'NgZDZD', 'after': 'MQZDZD'}}}"
1849247698620787_2867851653427048,2021-04-13T06:10:53+0000,"📌13 сәуір күні сағат 15:00-де Zoom платформасында «Жемқорлыққа қарсы мәдениет» тақырыбында видеолекция өтеді! 

🔷Спикерлер: Қуаныш Бүркітұлы Мырзағали мен Мұрат Жақсылықұлы Парманқұлов.
Кездесуге белсенді қатысуды ұсынамыз!
————
📌13 апреля в 15:00 на платформе Zoom состоится видеолекция на тему «Антикоррупционная культура»! 

🔷Спикеры: Мырзагали Куаныш Буркитович и Парманкулов Мурат Жаксылыкович.
Предлагаем принять активное участие во встрече!",Yessenov University сейчас здесь: Yessenov University.,
1849247698620787_2867838203428393,2021-04-13T05:52:32+0000,"📌12-ші сәуір күні Yessenov University-де ""Тұлғаның сыбайлас жемқорлыққа қарсы  мәдениетін қалыптастырудағы отбасы рөлі"" тақырыбында білім алушы жастармен кездесу өтті. 

Кездесуге Маңғыстау облысының ақпараттық ағарту штабының мүшесі, ""Парасат"" ұйымының президиум мүшесі Аллаберген Қонарбаев қатысып, қазіргі таңдағы қоғамда өршіп тұрған басты мәселе сыбайлас жемқорлықпен күресуде отбасы тәрбиесінің маңызды екені туралы сөз өрбітіп, жастарға өзінің ақыл-кеңесін берді. 

Шараға қатысқан білім алушы жастар көкейлеріндегі сұрақтарын қойып, тұшымды жауаптарын алды.
————–
📌12 апреля в Yessenov University состоялась встреча с обучающейся молодежью на тему ""Роль семьи в формировании антикоррупционной культуры личности"". 

На встрече присутствовал член информационно-просветительского штаба Мангистауской области, член президиума организации ""Парасат"" Аллаберген Конарбаев, который рассказал о важности семейного воспитания в борьбе с коррупцией, а также дал советы молодым людям. 

Обучающаяся молодежь, принявшая участие в мероприятии, задавала интересующие ее вопросы и получала исчерпывающие ответы.",Yessenov University сейчас здесь: Yessenov University.,"{'data': [{'created_time': '2021-04-13T07:48:54+0000', 'message': 'Оқу орны басшылығына мың алғыс', 'id': '2867838203428393_2867910846754462'}], 'paging': {'cursors': {'before': 'MQZDZD', 'after': 'MQZDZD'}}}"
1849247698620787_2867459396799607,2021-04-12T19:12:44+0000,"📌2 сәуір және 9 сәуір күндері Yessenov University Волонтерлік қозғалыстың студенттері, экологиялық бағыт бойынша Ақтау қаласындағы Приморский ықшам ауданы және 43 км-дегі теңіз жағалауларында тазалық жұмыстарын жүргізді. 

Жұмыс барысында барлығы 120 қап қоқыс жиналды. Студенттер туған өлкесінің экологиясының дамуына барынша өз үлестерін қосатынын және қала тұрғындарын қоқыс тастамауға шақырды.
————
📌2 и 9 апреля студенты волонтерского движения Yessenov University по экологическому направлению провели уборку Приморского микрорайона в г. Актау и приморского побережья в 43 км. 

Всего за время работы было собрано 120 мешков мусора. Студенты призвали горожан внести свой вклад в развитие экологии родного края и не выбрасывать мусор.",Yessenov University сейчас здесь: Yessenov University.,"{'data': [{'created_time': '2021-04-13T19:56:21+0000', 'message': '', 'id': '2867459396799607_2868349993377214'}], 'paging': {'cursors': {'before': 'MQZDZD', 'after': 'MQZDZD'}}}"
1849247698620787_2867231023489111,2021-04-12T12:33:26+0000,"Yessenov University Сіздерді ғылым күнімен құттықтайды!
Әр жаңа күн бірегей идеяларға, пайдалы және ұлы жаңалықтарға, қызықты жетістіктерге толы болуын тілейміз. Біздің елімізде ғылым дамып, дарынды, өнертапқыштық, мақсатқа ұмтылған адамдар көбейе берсін!
————
Yessenov University поздравляет Вас с Днём науки! Желаем, чтобы каждый новый день был полон креативных и уникальных идей, полезных и великих открытий, интересных и достойных достижений. Пусть наука в нашей стране развивается и влечёт за собой всё больше и больше талантливых, изобретательных, целеустремлённых людей.",Yessenov University сейчас здесь: Yessenov University.,
1849247698620787_2867180306827516,2021-04-12T10:52:32+0000,"📌Yessenov University сіздерді 12 сәуір күні сағат 15:00-де өтетін ""Тұлғаның сыбайлас жемқорлыққа қарсы  мәдениетін қалыптастырудағы отбасы рөлі"" тақырыбындағы кездесуге шақырады.

Кеш қонағы Аллаберген Қонарбаев 
МО ақпараттық ағарту штабының мүшесі, ""Парасат"" ұйымының президиум мүшесі.

Өтетін орны: Yessenov University, Атриум залы
————
📌Yessenov University приглашает вас на встречу ""Роль семьи в формировании антикоррупционной культуры личности"", которая состоится 12 апреля в 15.00.

Гость вечера – Аллаберген Конарбаев 
Член штаба информационного просвещения, Член президиума организации ""Парасат"".

Место проведения: Yessenov University, зал Атриум",Yessenov University сейчас здесь: Yessenov University.,"{'data': [{'created_time': '2021-04-13T07:49:32+0000', 'message': 'Тамаша', 'id': '2867180306827516_2867911326754414'}], 'paging': {'cursors': {'before': 'MQZDZD', 'after': 'MQZDZD'}}}"
1849247698620787_2864816970397183,2021-04-09T12:13:38+0000,"♟Умеешь играть в Шахматы?
Всегда хотел принять участие в настоящем турнире?
Хочешь опробовать себя против мастеров своего уровня?
⠀
Тогда мы приглашаем тебя на Открытый Шахматный Турнир ""Yessenov Chess Cup 2021"" проводимого в рамках ""Yessenov FEST - 2021""!
⠀
Уже 30 апреля 2021 года ты сможешь побороться за 1 из 3 призовых мест:
⠀
1 место - 100 000тг.
2 место - 60 000тг.
3 место - 40 000тг.
⠀
Регистрация проводится до 25 апреля 2021года.
1. Участник должен заполнить и отправить заявку, которую ты сможешь скачать в нашем телеграм канале https://t.me/YessenovUniversity
2. Прикрепи к заявке документ удостоверяющий личность и справку с учебного заведения
3. Заявку надо отправить на e-mail: yessenov.chess.cup@gmail.com
⠀
Участие могут принять студенты ВУЗов, колледжей и школьники 9-11 классов.
Количество участников ограничено!
⠀
Не упусти возможность принять участие!💙

Благодарим шахматную школу “Дебют” за техническую поддержку!",,"{'data': [{'created_time': '2021-04-13T19:56:40+0000', 'message': 'Сәттілік!', 'id': '2864816970397183_2868350323377181'}], 'paging': {'cursors': {'before': 'MQZDZD', 'after': 'MQZDZD'}}}"
