

я бы	created_time	post_text	сказка	comment_id	comment_text	comment_created_time
1	1849247698620787_2868153750063505	2021-04-13T15: 51: 44 + 0000	Г-н Есенов провел онлайн-видеолекцию по антикоррупционной культуре на уровне вуза. Во время видеолекции он получил много полезной информации и получил полные ответы на свои вопросы. В апреле Есеновский университет провел онлайн-видеолекцию на тему антикоррупционная культура.На встрече присутствовал заместитель начальника антикоррупционного управления агентства по Мангистауской области.Кандидат химических наук Парманкулов Мурат Жаксылыкович во время видеолекций наши студенты узнали много полезной информации и получили исчерпывающие ответы на вои вопросы	Университет Есенова теперь здесь: Университет Есенова.	2868153750063505_2868155300063350	была поучительной лекцией	2021-04-13T15: 54: 57 + 0000
2	1849247698620787_2868153750063505	2021-04-13T15: 51: 44 + 0000	Г-н Есенов провел онлайн-видеолекцию по антикоррупционной культуре на уровне вуза. Во время видеолекции он получил много полезной информации и получил полные ответы на свои вопросы. В апреле Есеновский университет провел онлайн-видеолекцию на тему антикоррупционная культура.На встрече присутствовал заместитель начальника антикоррупционного управления агентства по Мангистауской области.Кандидат химических наук Парманкулов Мурат Жаксылыкович во время видеолекций наши студенты узнали много полезной информации и получили исчерпывающие ответы на вои вопросы	Университет Есенова теперь здесь: Университет Есенова.	2868153750063505_2868620773350136	Спасибо организаторам, это была интересная встреча.	2021-04-14T04: 04: 54 + 0000
3	1849247698620787_2868153750063505	2021-04-13T15: 51: 44 + 0000	Г-н Есенов провел онлайн-видеолекцию по антикоррупционной культуре на уровне вуза. Во время видеолекции он получил много полезной информации и получил полные ответы на свои вопросы. В апреле Есеновский университет провел онлайн-видеолекцию на тему антикоррупционная культура.На встрече присутствовал заместитель начальника антикоррупционного управления агентства по Мангистауской области.Кандидат химических наук Парманкулов Мурат Жаксылыкович во время видеолекций наши студенты узнали много полезной информации и получили исчерпывающие ответы на вои вопросы	Университет Есенова теперь здесь: Университет Есенова.	2868153750063505_2868183710060509	Пусть инициатива будет положительной	2021-04-13T16: 52: 29 + 0000
4	1849247698620787_2868153750063505	2021-04-13T15: 51: 44 + 0000	Г-н Есенов провел онлайн-видеолекцию по антикоррупционной культуре на уровне вуза. Во время видеолекции он получил много полезной информации и получил полные ответы на свои вопросы. В апреле Есеновский университет провел онлайн-видеолекцию на тему антикоррупционная культура.На встрече присутствовал заместитель начальника антикоррупционного управления агентства по Мангистауской области.Кандидат химических наук Парманкулов Мурат Жаксылыкович во время видеолекций наши студенты узнали много полезной информации и получили исчерпывающие ответы на вои вопросы	Университет Есенова теперь здесь: Университет Есенова.	2868153750063505_2868348833377330	хорошая лекция	2021-04-13T19: 55: 12 + 0000
5	1849247698620787_2868147476730799	2021-04-13T15: 39: 30 + 0000	Круглый стол на тему «Менеджмент образования и детская психология», организованный Есеновским университетом в апреле, организован основателем Республиканского центра Газбилим, магистрантом, доктором философии, директором гимназии Нур-Султана аятжаном ахметжановичем offline yessenov university, atrium зал и онлайн-платформа масштабирования Приглашаем вас присоединиться по ссылке ниже https zoom us j pwd sfnydvpyynvgd hkuwzszglcn q ut конференция идентификационный код доступа университет Yessenov приглашает вас присоединиться к круглому столу, организованному школой образования, учителем магистром, доктором Phd, директор гимназии г нур султан аятжан ахметжанович офлайн в зале атриума университета есенова и онлайн формат через платформу увеличить по ссылке ниже https увеличить нас j pwd sfnydvpyynvgd hkuwzszglcn q ut код доступа к конференц-связи	Университет Есенова теперь здесь: Университет Есенова.	2868147476730799_2868349103377303	хорошее начало	2021-04-13T19: 55: 30 + 0000
6	1849247698620787_2868147476730799	2021-04-13T15: 39: 30 + 0000	Круглый стол на тему «Менеджмент образования и детская психология», организованный Есеновским университетом в апреле, организован основателем Республиканского центра Газбилим, магистрантом, доктором философии, директором гимназии Нур-Султана аятжаном ахметжановичем offline yessenov university, atrium зал и онлайн-платформа масштабирования Приглашаем вас присоединиться по ссылке ниже https zoom us j pwd sfnydvpyynvgd hkuwzszglcn q ut конференция идентификационный код доступа университет Yessenov приглашает вас присоединиться к круглому столу, организованному школой образования, учителем магистром, доктором Phd, директор гимназии г нур султан аятжан ахметжанович офлайн в зале атриума университета есенова и онлайн формат через платформу увеличить по ссылке ниже https увеличить нас j pwd sfnydvpyynvgd hkuwzszglcn q ut код доступа к конференц-связи	Университет Есенова теперь здесь: Университет Есенова.	2868147476730799_2868774603334753	Необходимо принять участие	2021-04-14T08: 46: 50 + 0000
7	1849247698620787_2867867713425442	2021-04-13T06: 38: 10 + 0000	yessenov University поздравляет всех вас с наступлением священного месяца Рамадан, пусть ваши намерения будут приняты, пусть свет на ваших лицах и вера возрастет в ваших сердцах, пусть будет свет на ваших лицах, пусть будет свет в ваших сердцах, пусть будет процветание, мир, единство для всех граждан Казахстана	Университет Есенова теперь здесь: Университет Есенова.	2867867713425442_2867931433419070	Пусть намерения аминь будут приняты	2021-04-13T08: 25: 53 + 0000
8	1849247698620787_2867867713425442	2021-04-13T06: 38: 10 + 0000	yessenov University поздравляет всех вас с наступлением священного месяца Рамадан, пусть ваши намерения будут приняты, пусть свет на ваших лицах и вера возрастет в ваших сердцах, пусть будет свет на ваших лицах, пусть будет свет в ваших сердцах, пусть будет процветание, мир, единство для всех граждан Казахстана	Университет Есенова теперь здесь: Университет Есенова.	2867867713425442_2867882233423990	Да примет бог	2021-04-13T07: 11: 19 + 0000
9	1849247698620787_2867867713425442	2021-04-13T06: 38: 10 + 0000	yessenov University поздравляет всех вас с наступлением священного месяца Рамадан, пусть ваши намерения будут приняты, пусть свет на ваших лицах и вера возрастет в ваших сердцах, пусть будет свет на ваших лицах, пусть будет свет в ваших сердцах, пусть будет процветание, мир, единство для всех граждан Казахстана	Университет Есенова теперь здесь: Университет Есенова.	2867867713425442_2868103870068493	Пусть твой пост будет принят	2021-04-13T14: 22: 49 + 0000
10	1849247698620787_2867867713425442	2021-04-13T06: 38: 10 + 0000	yessenov University поздравляет всех вас с наступлением священного месяца Рамадан, пусть ваши намерения будут приняты, пусть свет на ваших лицах и вера возрастет в ваших сердцах, пусть будет свет на ваших лицах, пусть будет свет в ваших сердцах, пусть будет процветание, мир, единство для всех граждан Казахстана	Университет Есенова теперь здесь: Университет Есенова.	2867867713425442_2868349526710594	Пусть намерение будет принято	2021-04-13T19: 55: 53 + 0000
