
id	media_type	comment_count	media_like_count	product_type	media_text	media_created_at
2552627566372576640_6323132732	2	0	151	кормить	💉Есеновский университет проводит добровольную вакцинацию сотрудников вуза. В первый день медперсоналом клиники «Эркемед» были вакцинированы 40 специалистов и профессорско-преподавательский состав вуза. Поступающие могут получить вакцину Sputnik V бесплатно с 18 лет. Вакцинация защищает вас и ваших близких! Приглашаем вас воспользоваться возможностью сделать прививки, работать вместе и внести свой вклад в формирование национального иммунитета! ———— 💉Есеновский университет проводит добровольную вакцинацию сотрудников вуза. В первый день медперсоналом клиники «Эркемед» были вакцинированы 40 специалистов и Университет PPS. Желающим получить вакцину Sputnik V совершенно бесплатно - 18 лет. Вакцинация защитит вас и ваших близких! Приглашаем воспользоваться возможностью вакцинации, действовать сообща и внести свой вклад в формирование всеобщего иммунитета!	1618740859
2552302050930317520_6323132732	8	0	167	carousel_container	📌Ессеновский университет 14 апреля, организованный кафедрой «Социальная поддержка и развитие молодежи» и «Школа образования», директор программы МДС Нурлаков Арафат провел обучающий семинар «Учитель - лидер общества». В ходе семинара студенты просмотрели видеоролик о программе MDS и получили информацию. Были представлены основные направления и учебные планы Программы МДС. Студенты также задавали вопросы и получали ответы. Спасибо всем учащимся! -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------------- Во время семинара студенты посмотрели видео и получили информацию о программе MDS. Были представлены основные направления и обучающие программы Программы MDS. Также студенты задавали свои вопросы и получали ответы. Спасибо всем студентам!	1618478195
2551856921623855106_6323132732	2	2	234	igtv	17 марта среди студентов Есеновского университета прошел конкурс «YESSENOV ARÝY MEN SULTANY - 2021». 5 На мероприятии 5 девочек и 5 мальчиков продемонстрировали свои таланты и интеллектуальные способности. По результатам оценки жюри: ЕСЕНОВ АРÝЙ был назван ЖАИНА ТЕЛОВА 👸🏻 ЕЕСЕНОВ СУЛТАНЫ назван АЛГЫТ ДАУРЕН. Девочки занимались рукоделием, познакомились с бурлящим сельским хозяйством, приняли участие в мастер-классе по гончарному делу. Ребята стреляли стрелами и подвергались критике. Кроме того, наши участники организовали благотворительные акции и помогли одной семье. 🌺 ———— 17 марта среди студентов Есеновского университета прошел конкурс «YESSENOV ARÝY MEN SULTANY - 2021». По результатам жюри: ЕСЕНОВ АРЙ стал ЖАЙНА ТЕЛОВА. 👸🏻 Анонсирован ЕСЕНОВ СУЛТАНЫ АЛГЫТ ДАУРЕН. Девочки занимались народными промыслами, знакомились с земледелием, прославляя традиции, а также приняли участие в мастер-классе по гончарному делу. И ребята соревновались в стреле из лука. Кроме того, участники организовали благотворительные акции и помогли одной семье.	1618478607
2551051845710673418_6323132732	8	0	127	carousel_container	📌 13 апреля в Есеновском университете прошла онлайн-видеолекция на тему «Культура противодействия коррупции» на университетском уровне. Во встрече приняли участие первый заместитель начальника управления Агентства по противодействию коррупции Мангистауской области Мырзагали Куаныш Буркитович и сотрудник информационно-просветительского штаба управления, кандидат химических наук Парманкулов Мурат Жаксылыкович. Во время видеолекций наши студенты получили много полезной информации и полные ответы на свои вопросы. ———— 📌 13 апреля в Есеновском университете прошла онлайн-видеолекция «Антикоррупционная культура». Во встрече приняли участие 1-й заместитель начальника Управления Агентства Республики Казахстан по противодействию коррупции в Мангистауской области Мырзагали Куаныш Буркитович и сотрудник информационно-просветительского отдела Управления образования, кандидат химических наук Мурзагали Куаныш. Буркитович. Во время видеолекций наши студенты узнали много полезной информации и получили исчерпывающие ответы на свои вопросы.	1618329101
2551045694403308072_6323132732	1	0	79	кормить	📌 Педагогическая школа Ессеновского университета 15 апреля с 09:00 до 17:00 Аятжан Ахметжанович, учредитель Республиканского центра управления образованием и детской психологии QAZBILIM, магистр, кандидат медицинских наук, директор гимназии №90 г. Нур-Султан Приглашаем вас присоединиться к круглому столу офлайн в Есеновском университете, Атриум Холл и онлайн через платформу ZOOM по ссылке ниже. https://zoom.us/j/95502381497?pwd=SFNYdVpYYnVGd3hKUWZSZGlCN0Q1UT09 Номер конференции: 955 0238 1497 Код доступа: 983033 ————— Университет Ессенов задушил Есеновский университет с 00 до 17:00 часов на тему «Управление образования и психологии» ребенка », проведенного учредителем Республиканского центра QAZBILIM, педагогом-мастером, кандидатом наук, директором гимназии №90. Нур-Султан Аятжан Ахметжанович офлайн в зале Атриум Есенов Университета и онлайн в формате через платформу ZOOM по ссылке ниже. https://zoom.us/j/95502381497?pwd=SFNYdVpYYnVGd3hKUWZSZGlCN0Q1UT09 ID конференции: 955 0238 1497 Код доступа: 983033	1618328367
2550773232809730389_6323132732	1	1	205	кормить	Есеновский университет поздравляет всех вас с наступлением священного месяца Рамадан и желает успехов! Пусть свет на ваших лицах и вера в ваших сердцах растет. Да будет наша Родина в безопасности, наш народ будет мирным, а единство всех казахстанцев будет крепким! 🕌 ———— Университет Есенова поздравляет вас с наступлением священного месяца Рамадан и желает, чтобы ваши добрые намерения были приняты! 🌙 Пусть ваши лица будут полны света! - веры. Пусть наша Родина останется благополучной, мирной, единой для всех казахстанцев !!	1618295887
2550759511479790977_6323132732	1	0	75	кормить	📌 13 апреля в 15:00 на платформе Zoom состоится видеолекция «Культура противодействия коррупции»! 🔷Спикеры: Куаныш Буркитович Мырзагали и Мурат Жаксылыкович Парманкулов. Приглашаем вас принять активное участие во встрече! ———— 📌 13 апреля в 15:00 на платформе Zoom состоится видеолекция на тему «Антикоррупционная культура»! 🔷Спикеры: Мырзагали Куаныш Буркитович и Парманкулов Мурат Жаксылыкович. Предлагаем принять активное участие во встрече!	1618294251
2550750258283139041_6323132732	8	1	205	carousel_container	📌 12 апреля в Есеновском университете прошла встреча с молодежью на тему «Роль семьи в формировании антикоррупционной культуры». На встрече присутствовал Аллаберген Конарбаев, член информационно-просветительского штаба Мангистауской области, член президиума организации «Парасат», который рассказал о важности семейного воспитания в борьбе с коррупцией и дал советы молодежи. люди. Студент, принявший участие в мероприятии, задавал вопросы и получил ответы. ————– 12 апреля в Есеновском университете прошла встреча со студентом на тему «Роль семьи в формировании антикоррупционной культуры личности». Аллаберген Конарбаев, член президиума организации «Парасат», который говорил о важности семейного воспитания в борьбе с коррупцией, а также давал советы совету, был членом информационно-просветительского штаба Мангистауской области. Молодой человек, принимавший участие в мероприятии, задал ей вопросы и получил исчерпывающие ответы.	1618293148
2550428231701540075_6323132732	8	4	332	carousel_container	«2 и 9 апреля студенты волонтерского движения Есеновского университета в области экологии убрали Приморский микрорайон в Актау и 43 км побережья. Всего за время работы собрано 120 мешков мусора. Студенты внесут весомый вклад в развитие экологии своей Родины и призвали жителей не мусорить. ———— 📌 2 и 9 апреля студенты волонтерского движения Есеновского университета в области экологии провели уборку микрорайона Приморский в г. Актау и прибрежное побережье в 43 км. За время работы собрано 120 мешков мусора. Студентам было предложено внести свой вклад в развитие экологии родного края и не выбрасывать мусор.	1618254760
2550227268201948037_6323132732	1	1	158	кормить	Есеновский университет поздравляет вас с Днем науки! Желаем, чтобы каждый новый день был полон уникальных идей, полезных и отличных новостей, интересных достижений. Пусть в нашей стране развивается наука и увеличивается количество талантливых, изобретательных и целеустремленных людей! ———— Есеновский университет поздравляет вас с Днем науки! Желаем, чтобы каждый новый день был полон творческих и уникальных идей, полезных и великих открытий, интересных и достойных достижений. Пусть наука в нашей стране развивается и привлекает все больше и больше талантливых, изобретательных, целеустремленных людей.	1618230803
2550176434730705780_6323132732	1	0	96	кормить	📌Есеновский университет приглашает вас на встречу 12 апреля в 15:00 на тему «Роль семьи в формировании антикоррупционной культуры личности». Гостем вечера был Аллаберген Конарбаев, член информационно-просветительского штаба МО, член президиума организации «Парасат». Место проведения: Есеновский университет, Атриум Холл ———— 📌Есеновский университет приглашает на встречу «Роль семьи в формировании антикоррупционной культуры личности», которая состоится 12 апреля в 15.00. Гость вечера - Аллаберген Конарбаев, член штаба информационного просвещения, член президиума организации «Парасат». Место проведения: Есеновский университет, Атриум Холл	1618224744
2548050587357896136_6323132732	8	7	160	carousel_container	♟Можете ли вы играть в шахматы? Вы всегда хотели принять участие в этом турнире? Хотите проверить себя на мастеров своего уровня? ⠀ Тогда приглашаем вас на открытый шахматный турнир «Yessenov Chess Cup 2021» в рамках «Yessenov Fest - 2021»! ⠀ С 30 апреля 2021 года вы можете выиграть 1 из 3 призов: ⠀ 1 место - 100 000 тенге. 2 место - 60 000 тенге. 3 место - 40 000 тенге. ⠀ Регистрация открыта до 25 апреля. 1. Участник должен заполнить и отправить заявку, которую можно скачать с нашего телеграм-канала (перейдя по ссылке в соответствующей истории) 2. В заявке должен быть документ, удостоверяющий личность, и справка из университета 3. Заявка должна быть отправлено на электронную почту yessenov.chess.cup@gmail.com должно быть отправлено. ⠀ В турнире принимают участие студенты университетов и колледжей, а также учащиеся 9-11 классов. Количество участников ограничено! ⠀ Не упустите свой шанс! 💙 Спасибо @ aktau.chess.school за техническую поддержку! ———— ♟ Ты умеешь играть в шахматы? Всегда хотели принять участие в настоящем турнире? Хотите проверить себя на мастеров своего уровня? ⠀ Тогда приглашаем вас на Открытый шахматный турнир «Yessenov Chess Cup 2021», проводимый в рамках «Yessenov FEST - 2021»! ⠀ Уже 30 апреля 2021 года вы сможете выиграть 1 из 3 призовых мест: ⠀ 1 место - 100 000 тенге. 2 место - 60 000 тенге. 3 место - 40 000 тенге. ⠀ Регистрация открыта до 25 апреля 2021 года. 1. Участник должен заполнить и отправить заявку, которую вы можете скачать в нашем телеграм-канале (ссылка в актуальном состоянии) 2. Приложите к заявке документ, подтверждающий личность и справку из учебного заведения 3. Заявление должно быть отправлено на: mail. @ gmail.com ⠀ К участию могут принять студенты ВУЗов, колледжей и школьники 9-11 классов. Количество участников ограничено! ⠀ Не упустим возможность принять участие! 💙 Спасибо за поддержку шахматной школе @ aktau.chess.school!	1617989474
2546041137122025513_6323132732	1	0	117	кормить	📌 7 апреля в 15:00 директор проекта Канат Идрис проведет семинар-тренинг на тему «Роль Тюркского совета в интеграции тюркского мира» в Совете сотрудничества тюркоязычных государств (Тюркский совет) в г. Венгрия. Семинар будет проводиться онлайн на платформе Google Hangouts Meet. Приглашаем вас принять активное участие в семинаре! https://meet.google.com/vty-wqdy-tww ———— 📌 7 апреля в 15:00 Представительство Совета сотрудничества тюркоязычных стран (Тюркский совет) в Венгрии Директор проекта Канат Идрис проведет тренинг. семинар на тему «Ролевой совет по интеграции тюркского мира. Семинар будет проводиться онлайн на платформе Google Hangouts Meet. Приглашаем вас принять активное участие в семинаре! https://meet.google.com/vty-wqdy-tww	1617731777
2546015882719599199_6323132732	2	0	121	igtv	📌 1-2 апреля в ЮУ прошел региональный семинар «Разработка образовательных программ и их реализация в новом контексте» с целью расширения компетенций профессорско-преподавательского состава для разработки образовательных программ в новом контексте и освоения парадигмы «исследований». обучение на основе ». ———— 📌 1-2 апреля с целью расширения компетенций профессорско-преподавательского состава в области разработки образовательных программ в новом контексте и развития парадигмы «обучение, основанное на исследованиях» в ЮУ прошел региональный семинар. «Реконструкция программы».	1617728839
2545261251018272517_6323132732	2	1	181	igtv	📌 2 апреля сотрудники, преподаватели и гости Есеновского университета продолжили акцию «Есенов - зеленый кампус», посадив деревья на территории кампуса. 🌳 Выскажите свое мнение о видео! 🔻 ———— 📌 2 апреля, сотрудники, преподаватели и гости Есеновского университета продолжили собственную акцию «Есенов - зеленый кампус» и посадили деревья по всей территории кампуса. 🌳 Оцените видео в комментариях! 🔻	1617644686
2545162964693021453_6323132732	2	0	162	кормить	📌2 апреля в Есеновском университете прошла встреча с Гани Бердихановичем Исентемировым, бронзовым призером чемпионата мира по парапауерлифтингу 2021 года в Манчестере. Победитель Кубка мира рассказал о трудностях в своей жизни, о том, как и зачем вставать, не сломав ногу в тяжелых испытаниях. В мероприятии принял участие руководитель спортивного клуба инвалидов Мангистауской области, Заслуженный тренер Казахстана Бейсенбаев Мурат Жаналиевич, который призвал молодежь любить страну и землю, быть любителями спорта для людей с ограниченными возможностями. ————— 2 апреля в Есеновском университете состоялась встреча с Изентемировым Гани Бердихановичем, бронзовым призером чемпионата мира по парапауерлифтингу, проходившего в Манчестере в 2021 году. На встрече призер чемпионата мира рассказал о своих жизненных невзгодах, о своем пути и целях в непростом испытании. В мероприятии принял участие руководитель спортивного клуба инвалидов Мангистауской области, заслуженный тренер РК Бейсенбаев Мурат Жаналиевич, который отметил, что в области активно развиваются виды спорта для инвалидов и поощряют молодежь любить и люблю спорт.	1617627368
2543877070966057565_6323132732	1	0	152	кормить	📌 Уважаемые студенты Ю! Сообщаем Вам, что в честь 30-летия независимости Казахстана Союз студентов высших учебных заведений организует межведомственный дебатный турнир «Есенов санлагы» с целью развития навыков публичных выступлений среди молодежи. Турнир состоится 8 апреля в 10:00 в главном корпусе Есеновского университета! Победители турнира получат денежные призы и сертификаты! За дополнительной информацией обращайтесь по телефону 8 778 131 3281! ———— 📌Уважаемые студенты Ю! В честь 30-летия независимости Казахстана с целью повышения ораторского мастерства среди молодежи пройдет межфакультетский дебатный турнир «Есенов санлагы», организованный высшим студенческим советом «Союз». Турнир состоится 8 апреля в 10:00 в главном корпусе Есеновского университета! Победители турнира получат денежные призы и дипломы! Дополнительную информацию вы можете узнать по телефону 8 778 131 3281!	1617473801
2543721191206591345_6323132732	2	16	293	кормить	🔷 Уважаемые абитуриенты и выпускники вузов! У нас для вас отличные новости! Выиграйте для себя бесплатный образовательный грант! Для этого приглашаем вас принять участие в республиканском турнире «YU Debate Cup-2021»! Вы можете получить более подробную информацию по ссылке ниже! https://debate.yu.edu.kz Ждем вас! 💙 ———— 🔷 Уважаемые выпускники школ и колледжей! У нас для вас отличные новости! Вы можете выиграть бесплатные образовательные гранты! Для этого приглашаем вас принять участие в республиканском турнире «YU Debate Cup-2021»! Более подробную информацию вы можете узнать по ссылке ниже! https://debate.yu.edu.kz Ждем вас! 💙	1617462615
2543561743557229542_6323132732	2	25	296	кормить	🔷Вы окончили школу / колледж? Хотите выиграть 100% бесплатный грант на образование? Тогда Есеновский университет приглашает вас принять участие в конкурсе стартап-проектов «Яс Касипкер-2021»! Участие в этом проекте позволяет бесплатно учиться, а также реализовывать собственный проект. Перейдите по этой ссылке и отправьте 3-5-минутное видео с описанием вашего приложения и проекта на https://startup.yu.edu.kz до 12 апреля! Участвуйте и выиграйте один из 30 образовательных грантов! Ждем вас! 💙 ———— 🔷 Вы закончили школу / колледж? Хотите выиграть 100% бесплатный грант на образование? Тогда Есеновский университет приглашает вас принять участие в конкурсе стартап-проектов «Яс Касипкер-2021»! Участие в этом проекте дает возможность бесплатно учиться, а также реализовать собственный проект. Отправьте заявку по ссылке https://startup.yu.edu.kz и 3-5 минутное видео для вашего проекта до 12 апреля! Участвуйте и выиграйте один из 30 образовательных грантов! Ждем вас! 💙	1617436461
